1122924905480302592,tax reform is working more americans are working and our economy is growing they said it could not be done but economic growth hit percent in,"Tax reform is working. More Americans are working and our economy is growing. They said it couldn’t be done, but economic growth hit 3.2 percent in 2019. https://t.co/AaKmmfvsi4",0.35,0.35,
1122924872223612928,the sovereignty and the integrity of our generous immigration system has been undercut by abuse and major policy flaws closing those loopholes will help keep this country secure and keep migrants safe,The sovereignty and the integrity of our generous immigration system has been undercut by abuse and major policy flaws. Closing those loopholes will help keep this country secure and keep migrants safe. https://t.co/fXxDV0V87M,0.32083333333333336,0.5333333333333333,
1122898856990130182,who holds our nation 22 trillion debt and why should you care find out in budget digest,Who holds our nation's $22 trillion debt and why should you care? Find out in #BudgetDigest. https://t.co/aTOQ9rScpC https://t.co/CwNQqBSTSA,0.0,0.0,BudgetDigest
1122898002853736448,so far only democrats have signed on to the discharge petition calling to end infanticide i signed the petition- immediately after it is release and will always stand to protect the lives of abortion survivors born alive act,"So far, only 3 Democrats have signed on to the discharge petition calling to #EndInfanticide. I signed the petition- immediately after it's release, and will always stand to protect the lives of abortion survivors. #BornAliveAct https://t.co/Jcs072X4ln",0.06666666666666667,0.7999999999999999,EndInfanticide
1122871103905521665,our great ic egov agents are working hard everyday to enforce our rule of law and secure our country,Our great @ICEgov agents are working hard everyday to enforce our rule of law and secure our country. https://t.co/elHQeNTXjB,0.17708333333333331,0.6229166666666667,
1122870823734403073,had a great time speaking about the power of prayer at the collinsville illinois st annual congressional prayer breakfast with my colleagues rep shimkus rodney davis rep bost this morning,"Had a great time speaking about the power of prayer at the Collinsville, Illinois 21st Annual Congressional Prayer Breakfast with my colleagues @RepShimkus, @RodneyDavis, @RepBost this morning! https://t.co/Fn0ycZakKm",0.8,0.75,
1122292519918809089,this horrifying episode is the latest example of rising anti-semitic violence in this country and around the world all of us must stand against anti-semitism in all its forms chair rep liz cheney statement following the shooting at congregation chabad,"""This horrifying episode is the latest example of rising anti-Semitic violence in this country &amp; around the world. All of us must stand against anti-Semitism in all its forms.""

Chair @RepLizCheney's statement following the shooting at Congregation Chabad: https://t.co/FUn6cZQVTF https://t.co/aDRgJxgp62",-0.13333333333333333,0.6666666666666666,
1122194201071034368,an important reminder to dispose of unwanted unused and eired prescription drugs take back day,"An important reminder to dispose of unwanted, unused &amp; expired prescription drugs. #TakeBackDay https://t.co/OPyVj9Mti3",0.2,0.5,TakeBackDay
1122193183088283649,today is national take back day to dispose of your prescription medications safely and responsibly click below to find an ny21 collection site open until pm,"Today is National #TakeBackDay to dispose of your prescription medications safely and responsibly. Click below to find an #NY21 collection site, open until 2PM! ⬇️ https://t.co/5s9hpHL6GG",0.175,0.3875,TakeBackDay
1122193176062779392,today is national prescription drug take back day when you can bring used or eired prescription drugs to a collection site to be disposed of safely you can use the website below to locate the nearest drop off spot to you,"Today is National Prescription Drug Take Back Day, when you can bring used or expired prescription drugs to a collection site to be disposed of safely. You can use the website below to locate the nearest drop off spot to you. ⬇️ https://t.co/2UUMBYdPGM",0.25,0.25,
1122130778673045509,today is deahq national take back day take a step to prevent drug addiction and overdose deaths by properly disposing of your rx drugs find a collection site near you,"Today is @DEAHQ's National #TakeBackDay. Take a step to prevent drug addiction and overdose deaths by properly disposing of your Rx drugs. 

Find a collection site near you →  https://t.co/yHzYWe9d9S https://t.co/nfwLxf9rAS",0.03333333333333333,0.16666666666666666,TakeBackDay
